H-107,H-108,H-109,H-110,H-111,IM-206,IM-208,IM-209,IM-210,UM-204,UM-208,UM-213,UM-214,UM-215
11.827792065785312,9.870467135797881,12.431725581280366,13.224517750531781,10.378925497308302,0.8334292455393759,0,4.978502449891063,5.920765181382271,1.8471357286679804,0,0,1.0478330231212853,1.0601649812425797
75.40217441938137,76.98964365922347,37.2951767438411,54.36746186329732,80.06599669352119,7.9175778326240716,20.265770295327922,12.446256124727656,23.683060725529085,1.8471357286679804,1.8811775146597007,7.097759656419331,4.715248604045784,3.7105774343490294
56.18201231248023,51.326429106148986,31.079313953200916,42.61233497393574,45.96381291665105,16.66858491078752,40.531540590655844,34.849517149237435,51.313298238646354,17.239933467567816,5.643532543979102,12.557574776741895,8.906580696530925,13.782144756153539
1586.402610823455,2351.145271747055,2104.069554631702,1675.1055817340257,1718.4535216257602,847.5975427135453,998.0891870449002,1295.2403873799915,907.8506611452816,19.0870691962358,10.660005916404971,11.46561175267738,2.0956660462425707,4.240659924970319
1.478474008223164,0,0,4.408172583510594,10.378925497308302,0,0,0,0,14.777085829343843,16.303538460384075,20.201315945193482,24.624076043350204,26.504124531064495
10.349318057562149,0,4.661897092980137,7.346954305850989,1.4827036424726145,0,0,0,0,0.6157119095559934,0.6270591715532337,1.6379445360967688,0.5239165115606427,1.5902474718638697
0,0,0,0,0,0,5.0664425738319805,0,0,12.31423819111987,4.389414200872635,7.097759656419331,10.478330231212853,5.830907396834189
20.698636115124298,0,0,20.57147205638277,11.861629139780916,0,0,0,0,11.698526281563876,5.643532543979102,8.189722680483843,11.002246742773496,12.191897284289668
400.66645622847744,381.0000314417982,290.59158546242855,246.85766467659326,238.71528643809094,456.719226555578,233.05635839627112,58.082528582062395,151.96630632214496,291.8474451295409,288.44721891448745,256.6113106551604,220.56885136703056,215.743573682865
0,3.9481868543191525,20.201554069580595,7.346954305850989,28.171369206979676,0,2.5332212869159902,5.80825285820624,1.9735883937940906,4.925695276447947,5.643532543979102,9.827667216580613,9.95441371965221,15.372392228017407
2037.3371833315202,3505.9899266354073,1793.2764150996927,1437.0642622244536,1338.881389152771,1395.1605570329152,1294.476077614071,1282.794131255264,925.6129566894285,82.50539588050313,99.07534910541091,83.53517134093521,75.44397766473254,77.92212612132961
7.392370041115821,0,0,0,0,57.92333256498663,40.531540590655844,54.76352694880169,57.234063420028626,24.62847638223974,10.660005916404971,14.741500824870919,13.621829300576708,13.252062265532247
5.913896032892656,0,4.661897092980137,4.408172583510594,2.965407284945229,0.41671462276968796,0,0,0,1.2314238191119868,2.5082366862129346,0,1.0478330231212853,0.5300824906212899
721.495316012904,864.6529210958944,579.6292052271971,546.6134003553136,501.1538311557437,1045.1202739063774,987.9563018972362,861.2809238311538,923.6393682956344,157.62224884633432,110.36241419336912,161.0645460495156,154.55537091038957,130.40029269283733
7.392370041115821,0,0,22.040862917552968,37.067591061815364,0,0,0,1.9735883937940906,25.859900201351724,29.47178106300198,49.138336082903066,39.2937383670482,48.76758913715867
0,0,3.1079313953200915,0,0,0.8334292455393759,0,0,0,1.8471357286679804,0.6270591715532337,1.0919630240645126,2.0956660462425707,1.0601649812425797
0,0,0,2.938781722340396,5.930814569890458,0,0,0,0,19.70278110579179,15.049420117277606,15.833463848935432,13.621829300576708,30.214701965413525
338.57054788310455,266.5026126665428,335.6565906945699,124.89822319946683,131.9606241800627,292.53366518432097,45.59798316448783,0,0,147.77085829343844,67.72239052774923,74.25348563638686,86.44622440750604,109.72707555860701
90.186914501613,90.8082976493405,156.95053546366464,64.6531978914887,102.3065513306104,102.51179720134324,27.865434156075892,39.8280195991285,0,40.02127412113958,47.65649703804576,30.574964673806353,31.434990693638557,45.057011702809646
0,0,0,0,0,0,0,0,0,828.1325183528112,1577.0538164563825,1147.6531382918026,1313.4586944825312,1446.5951169055002
206.98636115124296,230.96893097767042,385.38349301969134,260.082182427125,330.642912271393,794.674785621795,531.976470252358,545.1460182630714,736.1484708851958,338.0258383462404,390.6578638776645,363.62368701348265,371.4568066964956,340.84304146948944
0,1.9740934271595763,0,0,0,1.6668584910787518,5.0664425738319805,0.8297504083151771,13.815118756558634,2.4628476382239737,1.2541183431064673,1.0919630240645126,3.143499069363856,1.5902474718638697
0,0,0,0,0,879.6845686668113,600.3734449990897,840.5371636232744,446.03097699746445,814.5868563425794,420.12964494066654,579.8323657782562,554.8275857427205,397.03178547534617
353.35528796533623,0,0,251.26583726010384,84.51410762093903,882.601571026199,281.18756284767494,107.86755308097302,339.4572037325836,166.24221558011823,112.87065087958204,164.8864166337414,128.8834618439181,147.3629323927186
