"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0022618","protein-RNA complex assembly",103,-0.54204084108286,-1.28263059495334,0.00342574886783673,0.0210013300158687,0.0146593830271274,6379,"tags=36%, list=32%, signal=25%","838647/824728/818851/819950/829003/843067/830033/841880/820803/820785/831405/842371/836350/829156/841726/5007874/819179/820170/843963/843064/824818/837434/828163/816389/826559/824424/836535/832834/836779/818947/834844/818188/821120/825283/820324/833970/822138"
"GO:0051094","positive regulation of developmental process",134,-0.523210673600999,-1.24570671884023,0.00342574886783673,0.0210013300158687,0.0146593830271274,5826,"tags=37%, list=29%, signal=27%","825160/836321/830062/843428/830096/829744/830543/821831/828303/28717514/821899/822000/814812/842993/829843/838127/825528/837654/834805/826909/836463/837997/841922/843811/830566/829424/3768804/830735/843133/836466/835028/843330/836710/829914/819174/839568/830751/837417/832392/818029/836519/829311/827568/829571/828564/837610/842536/830453/818903/831013"
"GO:0048255","mRNA stabilization",11,-0.791294070624732,-1.5434287500932,0.00350219273261204,0.0214034936661801,0.0149401019618353,2203,"tags=36%, list=11%, signal=32%","816411/841997/829635/824514"
"GO:0051644","plastid localization",32,-0.653948367409004,-1.46482621602581,0.00357124326518928,0.0217581302638384,0.0151876459848368,4456,"tags=34%, list=22%, signal=27%","824335/820509/818643/843133/820974/840860/836874/835621/835926/828923/823721"
"GO:0033043","regulation of organelle organization",134,-0.522896544823491,-1.24495881298038,0.00361092272511482,0.0219321891057743,0.0153091428248593,5802,"tags=40%, list=29%, signal=29%","824036/841414/830326/825237/819077/826806/829016/817921/820573/843272/816591/823923/831404/831035/824955/828385/819697/818798/820636/839140/836862/844213/836370/822195/823970/841183/834569/821389/844108/837359/826707/825902/821496/823959/821383/843509/841471/830483/816795/839791/831607/821783/829750/816290/834508/843917/819717/827328/822136/838598/821545/821339/835616/842086"
"GO:0048825","cotyledon development",49,-0.600870477584535,-1.38383439516115,0.00366260793874681,0.0221778775186693,0.015480638656182,6713,"tags=59%, list=34%, signal=39%","836053/827609/820658/826715/824251/839401/824585/817788/819239/828908/843693/830889/832968/820060/828569/828475/816640/843393/832093/837048/842311/3768574/827588/820732/829311/838363/828263/844282/825828"
"GO:1901403","positive regulation of tetrapyrrole metabolic process",13,-0.763117186091952,-1.53430984347809,0.00367477228308977,0.0221834877272759,0.0154845547032497,2993,"tags=62%, list=15%, signal=52%","5007676/824885/835788/824690/834085/821673/827479/834757"
"GO:1901990","regulation of mitotic cell cycle phase transition",50,-0.598995882053073,-1.38051371602072,0.00373697498025875,0.0224902091799718,0.0156986529177108,7431,"tags=68%, list=37%, signal=43%","841166/838899/827121/837238/831001/818636/836434/841684/830434/824036/841414/843506/836489/835372/818444/817921/843272/816591/824585/844377/838687/826875/844213/822195/823970/817518/833791/844108/843987/821496/838127/841471/842992/821545"
"GO:0009123","nucleoside monophosphate metabolic process",22,-0.690495743312101,-1.49366473074502,0.00380097128959454,0.0226794209142073,0.0158307268046165,4189,"tags=45%, list=21%, signal=36%","843505/827448/823847/821663/842670/834088/824612/843535/818069/824930"
"GO:0009201","ribonucleoside triphosphate biosynthetic process",25,-0.666628574618246,-1.46310748264551,0.00380288162239241,0.0226794209142073,0.0158307268046165,4208,"tags=48%, list=21%, signal=38%","820447/841590/838204/816487/827987/826702/834749/836451/826515/829359/826551/825797"
