"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Amino acid metabolism","ath00270","Cysteine and methionine metabolism","108/4731","125/6305",0.864,1.15145212428662,2.96495666621043,0.00126513582316215,0.00491595634143006,0.00190245988445436,"AT1G01480/AT1G02500/AT1G04410/AT1G05010/AT1G09240/AT1G10060/AT1G10070/AT1G12010/AT1G14810/AT1G17745/AT1G23820/AT1G31230/AT1G49820/AT1G50110/AT1G53240/AT1G55880/AT1G55920/AT1G56430/AT1G62380/AT1G62800/AT1G64660/AT1G69770/AT1G70310/AT1G77330/AT1G77670/AT1G79230/AT1G80360/AT2G05830/AT2G17265/AT2G17630/AT2G17640/AT2G19590/AT2G22780/AT2G22810/AT2G24850/AT2G26400/AT2G30970/AT2G36880/AT2G43750/AT3G01120/AT3G02020/AT3G02470/AT3G03630/AT3G03780/AT3G04940/AT3G08860/AT3G13110/AT3G15020/AT3G17390/AT3G19480/AT3G22460/AT3G22740/AT3G23810/AT3G25570/AT3G25900/AT3G26115/AT3G47520/AT3G49680/AT3G59760/AT3G61440/AT3G62130/AT4G01850/AT4G08040/AT4G11280/AT4G13940/AT4G14710/AT4G14716/AT4G14880/AT4G17260/AT4G19020/AT4G19710/AT4G23100/AT4G23600/AT4G26200/AT4G28420/AT4G31990/AT4G34200/AT4G34840/AT4G35630/AT4G35640/AT4G37770/AT4G38800/AT4G39660/AT5G04950/AT5G09660/AT5G11520/AT5G13280/AT5G14060/AT5G15950/AT5G17920/AT5G18930/AT5G19550/AT5G20980/AT5G26600/AT5G27380/AT5G27650/AT5G28020/AT5G28030/AT5G36160/AT5G43850/AT5G49160/AT5G53120/AT5G53850/AT5G53970/AT5G56720/AT5G56760/AT5G65780/AT5G65800",108
"Metabolism","Amino acid metabolism","ath00280","Valine, leucine and isoleucine degradation","48/4731","52/6305",0.923076923076923,1.23018389346861,2.8894461261473,0.00135526212119295,0.00511987912450668,0.00198137737016513,"AT1G03090/AT1G04710/AT1G06550/AT1G10060/AT1G10070/AT1G21400/AT1G23800/AT1G44170/AT1G48030/AT1G50110/AT1G54100/AT1G55510/AT1G71170/AT1G71180/AT2G14170/AT2G26800/AT2G30650/AT2G30660/AT2G33150/AT3G06810/AT3G06850/AT3G08860/AT3G13450/AT3G16170/AT3G16950/AT3G17240/AT3G24360/AT3G45300/AT3G48000/AT3G49680/AT3G60510/AT4G11820/AT4G13360/AT4G16155/AT4G16210/AT4G16800/AT4G20930/AT4G29120/AT4G31810/AT4G34030/AT4G34240/AT4G36250/AT4G39660/AT5G09300/AT5G48230/AT5G48880/AT5G65780/AT5G65940",48
"Metabolism","Global and overview maps","ath01210","2-Oxocarboxylic acid metabolism","90/4731","103/6305",0.87378640776699,1.16449446226398,2.91800630255898,0.00145918928806907,0.00533929620475122,0.00206629110090992,"AT1G01090/AT1G10060/AT1G10070/AT1G14810/AT1G16400/AT1G16410/AT1G17290/AT1G21400/AT1G23310/AT1G24100/AT1G24180/AT1G30120/AT1G31180/AT1G34430/AT1G44820/AT1G48030/AT1G50110/AT1G54220/AT1G54340/AT1G55510/AT1G59900/AT1G62800/AT1G70580/AT1G72330/AT1G74040/AT1G74100/AT1G80600/AT2G05710/AT2G13360/AT2G17130/AT2G19940/AT2G20610/AT2G22330/AT2G22910/AT2G30970/AT2G31810/AT2G34590/AT2G37500/AT2G42790/AT2G43090/AT2G43100/AT2G44350/AT3G02020/AT3G06850/AT3G08860/AT3G09810/AT3G13450/AT3G13930/AT3G16950/AT3G17240/AT3G19710/AT3G23940/AT3G25860/AT3G48560/AT3G49680/AT3G52200/AT3G55410/AT3G57560/AT3G58610/AT3G58750/AT3G58990/AT4G13430/AT4G13770/AT4G16155/AT4G17830/AT4G26910/AT4G26970/AT4G31500/AT4G31990/AT4G35260/AT4G35830/AT4G37670/AT4G38220/AT4G39660/AT4G39950/AT5G03290/AT5G09300/AT5G11520/AT5G13280/AT5G14060/AT5G14200/AT5G14590/AT5G16290/AT5G19550/AT5G23010/AT5G23020/AT5G50850/AT5G55070/AT5G65750/AT5G65780",90
"Metabolism","Carbohydrate metabolism","ath00630","Glyoxylate and dicarboxylate metabolism","72/4731","81/6305",0.888888888888889,1.18462152704385,2.89916056379216,0.00149186217485696,0.00533929620475122,0.00206629110090992,"AT1G04410/AT1G11860/AT1G12550/AT1G17650/AT1G20620/AT1G20630/AT1G22020/AT1G23310/AT1G32470/AT1G36370/AT1G48030/AT1G48470/AT1G53240/AT1G66200/AT1G67090/AT1G68010/AT1G70580/AT1G80380/AT2G05710/AT2G13360/AT2G22780/AT2G26080/AT2G35120/AT2G35370/AT2G41220/AT2G42790/AT2G44350/AT3G08860/AT3G14130/AT3G14150/AT3G14415/AT3G14420/AT3G15020/AT3G16910/AT3G16950/AT3G17240/AT3G17820/AT3G21720/AT3G25530/AT3G47520/AT3G48990/AT3G58750/AT4G13890/AT4G16155/AT4G17360/AT4G18360/AT4G26970/AT4G32520/AT4G33010/AT4G35090/AT4G35830/AT4G37550/AT4G37560/AT4G37930/AT4G39660/AT5G03860/AT5G04140/AT5G09660/AT5G14780/AT5G16570/AT5G35630/AT5G36700/AT5G36790/AT5G36880/AT5G37600/AT5G38410/AT5G38420/AT5G38430/AT5G47435/AT5G47760/AT5G48230/AT5G56720",72
"Metabolism","Amino acid metabolism","ath00220","Arginine biosynthesis","36/4731","38/6305",0.947368421052632,1.26255715382305,2.81428463179272,0.00162618938037104,0.005670814249499,0.00219458755785565,"AT1G17290/AT1G23310/AT1G29900/AT1G44820/AT1G48470/AT1G51720/AT1G62800/AT1G66200/AT1G67550/AT1G70580/AT1G72330/AT1G80600/AT2G19940/AT2G22910/AT2G30970/AT2G37500/AT3G03910/AT3G17820/AT3G27740/AT3G47450/AT3G57560/AT4G08870/AT4G08900/AT4G17830/AT4G24830/AT4G31990/AT4G37670/AT4G38220/AT5G07440/AT5G10920/AT5G11520/AT5G16570/AT5G18170/AT5G19550/AT5G35630/AT5G37600",36
"Metabolism","Amino acid metabolism","ath00250","Alanine, aspartate and glutamate metabolism","47/4731","51/6305",0.92156862745098,1.22817378906752,2.83631274339353,0.00167976446884663,0.00571119919407853,0.00221021640637714,"AT1G17290/AT1G23310/AT1G29900/AT1G36280/AT1G48470/AT1G51720/AT1G62800/AT1G65960/AT1G66200/AT1G70580/AT1G72330/AT1G79440/AT2G02010/AT2G13360/AT2G16570/AT2G30970/AT3G03910/AT3G08860/AT3G16150/AT3G17820/AT3G20330/AT3G22200/AT3G24090/AT3G27740/AT3G47340/AT3G57610/AT4G18440/AT4G24830/AT4G31990/AT4G34740/AT4G39660/AT5G07440/AT5G08100/AT5G10240/AT5G10920/AT5G11520/AT5G12040/AT5G14760/AT5G16570/AT5G17330/AT5G18170/AT5G19550/AT5G35630/AT5G37600/AT5G53460/AT5G62530/AT5G65010",47
"Metabolism","Carbohydrate metabolism","ath00500","Starch and sucrose metabolism","145/4731","172/6305",0.843023255813954,1.12349643371528,2.84684858992755,0.002026331669907,0.00672149041725249,0.00260119598190886,"AT1G02800/AT1G02850/AT1G03310/AT1G04920/AT1G05610/AT1G06020/AT1G06030/AT1G06410/AT1G11720/AT1G11820/AT1G12240/AT1G22880/AT1G23190/AT1G23210/AT1G23870/AT1G26560/AT1G27680/AT1G32900/AT1G35910/AT1G45191/AT1G47840/AT1G50390/AT1G50460/AT1G51420/AT1G55120/AT1G60140/AT1G60260/AT1G60270/AT1G61810/AT1G61820/AT1G62660/AT1G64390/AT1G65610/AT1G66250/AT1G66280/AT1G66430/AT1G68020/AT1G69830/AT1G70290/AT1G70710/AT1G70730/AT1G73370/AT1G76130/AT1G78090/AT1G78580/AT2G01630/AT2G18700/AT2G19860/AT2G21590/AT2G22190/AT2G31390/AT2G32290/AT2G32860/AT2G35840/AT2G36390/AT2G39930/AT2G40840/AT2G44450/AT2G44460/AT2G44480/AT2G44490/AT2G44570/AT2G45880/AT3G01180/AT3G03250/AT3G03640/AT3G09260/AT3G13560/AT3G13784/AT3G13790/AT3G18070/AT3G18080/AT3G20040/AT3G20440/AT3G21370/AT3G23920/AT3G29320/AT3G43190/AT3G46970/AT3G47000/AT3G47010/AT3G47040/AT3G47050/AT3G52340/AT3G54270/AT3G59480/AT3G60120/AT3G60130/AT3G60140/AT3G62740/AT3G62750/AT4G00490/AT4G02280/AT4G02290/AT4G09020/AT4G10120/AT4G11050/AT4G11980/AT4G12430/AT4G15210/AT4G17090/AT4G17770/AT4G18240/AT4G21760/AT4G22590/AT4G24040/AT4G24260/AT4G24620/AT4G25000/AT4G27820/AT4G27830/AT4G29130/AT4G29680/AT4G31140/AT4G39000/AT4G39010/AT4G39210/AT4G39770/AT5G03650/AT5G04885/AT5G10100/AT5G11110/AT5G11720/AT5G11920/AT5G17310/AT5G19220/AT5G20280/AT5G20830/AT5G20950/AT5G24300/AT5G24540/AT5G36890/AT5G37180/AT5G42740/AT5G45300/AT5G48300/AT5G49190/AT5G49720/AT5G51460/AT5G51820/AT5G51830/AT5G54570/AT5G58090/AT5G64860/AT5G65140",145
"Cellular Processes","Transport and catabolism","ath04146","Peroxisome","79/4731","90/6305",0.877777777777778,1.1698137579558,2.81290958844934,0.00211141371628504,0.00683695870035156,0.00264588184998125,"AT1G03000/AT1G04710/AT1G06290/AT1G08830/AT1G20620/AT1G20630/AT1G29260/AT1G48635/AT1G49430/AT1G52870/AT1G54340/AT1G64400/AT1G77590/AT1G79810/AT2G01490/AT2G04350/AT2G13360/AT2G14860/AT2G24580/AT2G26350/AT2G26800/AT2G28190/AT2G33150/AT2G39970/AT2G42770/AT2G45690/AT2G47240/AT3G03490/AT3G04460/AT3G05290/AT3G05970/AT3G06690/AT3G07560/AT3G10920/AT3G12800/AT3G14130/AT3G14150/AT3G14415/AT3G14420/AT3G18160/AT3G23790/AT3G24570/AT3G44540/AT3G44550/AT3G51840/AT3G56350/AT4G03410/AT4G04320/AT4G04470/AT4G05530/AT4G14070/AT4G14305/AT4G16760/AT4G18360/AT4G23850/AT4G25100/AT4G33790/AT4G33905/AT4G34890/AT4G34900/AT4G35090/AT4G39850/AT5G14590/AT5G17380/AT5G17550/AT5G18100/AT5G19750/AT5G20070/AT5G22500/AT5G23310/AT5G27450/AT5G27520/AT5G27600/AT5G43140/AT5G43280/AT5G48880/AT5G51100/AT5G56290/AT5G65110",79
NA,NA,"ath01320","Sulfur cycle","21/4731","21/6305",1,1.33269921792433,2.64743649550343,0.00237574762158865,0.00743445233944809,0.0028771100384861,"AT1G19920/AT1G55880/AT1G62180/AT2G14750/AT2G43750/AT3G03900/AT3G04940/AT3G22460/AT3G22890/AT3G59760/AT3G61440/AT4G04610/AT4G14680/AT4G14880/AT4G21990/AT4G39940/AT5G04590/AT5G28020/AT5G28030/AT5G43780/AT5G67520",21
"Organismal Systems","Environmental adaptation","ath04712","Circadian rhythm - plant","40/4731","43/6305",0.930232558139535,1.23972020272031,2.73441573619517,0.00240526399217438,0.00743445233944809,0.0028771100384861,"AT1G01060/AT1G04400/AT1G09530/AT1G09570/AT1G22770/AT1G53090/AT1G56650/AT1G68050/AT2G18790/AT2G23070/AT2G23080/AT2G25930/AT2G32950/AT2G44680/AT2G46340/AT2G46790/AT2G46830/AT3G02380/AT3G15354/AT3G17609/AT3G50000/AT3G60250/AT4G08920/AT4G11110/AT4G17640/AT5G02810/AT5G08330/AT5G11260/AT5G13930/AT5G15840/AT5G23280/AT5G23730/AT5G24470/AT5G47080/AT5G52250/AT5G57360/AT5G60100/AT5G61380/AT5G62430/AT5G67380",40
"Metabolism","Glycan biosynthesis and metabolism","ath00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","28/4731","29/6305",0.96551724137931,1.28674407247866,2.68308352615369,0.00252957020853276,0.00759591082062761,0.00293959397083112,"AT1G08750/AT1G11880/AT1G12730/AT1G16040/AT1G16560/AT1G53710/AT1G57600/AT1G61280/AT1G63110/AT1G74340/AT2G22530/AT2G27340/AT2G34980/AT2G39445/AT3G01380/AT3G07140/AT3G07180/AT3G27325/AT3G45100/AT3G57170/AT3G58130/AT4G17910/AT5G14850/AT5G17250/AT5G19130/AT5G22130/AT5G46850/AT5G62130",28
"Metabolism","Glycan biosynthesis and metabolism","ath00510","N-Glycan biosynthesis","45/4731","49/6305",0.918367346938776,1.22390744503255,2.727723947799,0.0025692051305064,0.00759591082062761,0.00293959397083112,"AT1G02145/AT1G12990/AT1G16570/AT1G16900/AT1G20575/AT1G24320/AT1G30000/AT1G32210/AT1G34130/AT1G48140/AT1G51590/AT1G61790/AT1G67490/AT1G67880/AT1G74340/AT1G76400/AT1G77350/AT1G78800/AT2G01720/AT2G05320/AT2G13290/AT2G16530/AT2G35520/AT2G39630/AT2G40190/AT2G41490/AT2G44660/AT2G47760/AT3G21160/AT3G27540/AT3G45040/AT3G57220/AT4G16710/AT4G18230/AT4G21150/AT4G29870/AT4G38240/AT5G02410/AT5G03080/AT5G14480/AT5G14950/AT5G19690/AT5G38460/AT5G63840/AT5G66680",45
"Genetic Information Processing","Replication and repair","ath03440","Homologous recombination","54/4731","60/6305",0.9,1.1994292961319,2.69079475546131,0.00309307133437938,0.00885026359018339,0.0034250246092041,"AT1G04020/AT1G05490/AT1G07745/AT1G09815/AT1G10930/AT1G20720/AT1G50840/AT1G60930/AT1G64750/AT1G77320/AT1G78650/AT1G79050/AT1G80210/AT2G01440/AT2G06510/AT2G16390/AT2G19490/AT2G21800/AT2G22140/AT2G24490/AT2G28560/AT2G31970/AT2G32000/AT2G42120/AT2G45280/AT3G02680/AT3G02920/AT3G06820/AT3G18580/AT3G19210/AT3G20540/AT3G24340/AT3G32920/AT3G42670/AT3G48190/AT4G00020/AT4G02110/AT4G18590/AT4G19130/AT4G21070/AT4G30870/AT4G35740/AT5G01630/AT5G08020/AT5G20850/AT5G42470/AT5G45010/AT5G45400/AT5G54260/AT5G57450/AT5G61000/AT5G63920/AT5G63960/AT5G64520",54
"Genetic Information Processing","Translation","ath03008","Ribosome biogenesis in eukaryotes","85/4731","98/6305",0.86734693877551,1.15591258697518,2.69671813071542,0.00323681669704381,0.00885026359018339,0.0034250246092041,"AT1G04635/AT1G06720/AT1G08410/AT1G10490/AT1G15420/AT1G15440/AT1G26530/AT1G27470/AT1G43860/AT1G50920/AT1G52980/AT1G56110/AT1G63780/AT1G63810/AT1G67120/AT1G75660/AT2G03820/AT2G18900/AT2G20490/AT2G21440/AT2G23070/AT2G23080/AT2G24990/AT2G25420/AT2G26970/AT2G27200/AT2G39820/AT2G43190/AT2G44680/AT2G46230/AT2G47300/AT2G47990/AT3G01610/AT3G03110/AT3G03920/AT3G05060/AT3G06530/AT3G07050/AT3G12860/AT3G21540/AT3G22980/AT3G26480/AT3G50000/AT3G50100/AT3G51270/AT3G55620/AT3G57000/AT3G57150/AT3G57940/AT3G60250/AT4G02400/AT4G04940/AT4G07410/AT4G12600/AT4G17640/AT4G22380/AT4G25630/AT4G28200/AT5G05540/AT5G08180/AT5G08600/AT5G11240/AT5G14050/AT5G15750/AT5G16750/AT5G17020/AT5G18180/AT5G20010/AT5G20020/AT5G20160/AT5G22100/AT5G25800/AT5G27120/AT5G37350/AT5G38720/AT5G41190/AT5G42540/AT5G47080/AT5G52470/AT5G55190/AT5G59980/AT5G60340/AT5G66540/AT5G67240/AT5G67380",85
"Metabolism","Glycan biosynthesis and metabolism","ath00513","Various types of N-glycan biosynthesis","33/4731","35/6305",0.942857142857143,1.25654497690008,2.63843244987862,0.00331884884631877,0.00885026359018339,0.0034250246092041,"AT1G02145/AT1G05590/AT1G16570/AT1G16900/AT1G26810/AT1G30000/AT1G32210/AT1G34130/AT1G49710/AT1G51590/AT1G61790/AT1G65590/AT1G71990/AT1G76400/AT1G77350/AT1G78800/AT2G01720/AT2G05320/AT2G35520/AT2G40190/AT2G47760/AT3G19280/AT3G21160/AT3G55260/AT4G16710/AT4G18230/AT4G21150/AT4G29870/AT4G38240/AT5G14950/AT5G19690/AT5G55500/AT5G66680",33
"Metabolism","Lipid metabolism","ath00600","Sphingolipid metabolism","33/4731","35/6305",0.942857142857143,1.25654497690008,2.63843244987862,0.00331884884631877,0.00885026359018339,0.0034250246092041,"AT1G05590/AT1G07380/AT1G13580/AT1G14290/AT1G26200/AT1G27980/AT1G33700/AT1G65590/AT1G69640/AT1G72990/AT2G38010/AT3G06060/AT3G19260/AT3G24180/AT3G25540/AT3G48780/AT3G48790/AT3G51730/AT3G54440/AT3G55260/AT3G56310/AT4G10060/AT4G21534/AT4G21540/AT4G22330/AT4G36480/AT5G01800/AT5G08370/AT5G08380/AT5G19200/AT5G49900/AT5G51290/AT5G58980",33
"Organismal Systems","Development and regeneration","ath04382","Cornified envelope formation","33/4731","35/6305",0.942857142857143,1.25654497690008,2.63843244987862,0.00331884884631877,0.00885026359018339,0.0034250246092041,"AT1G03960/AT1G10430/AT1G13320/AT1G13460/AT1G17720/AT1G25490/AT1G33700/AT1G51690/AT1G54450/AT1G59830/AT1G69960/AT2G42500/AT3G06060/AT3G21650/AT3G24180/AT3G25800/AT3G26020/AT3G26030/AT3G48780/AT3G48790/AT3G54930/AT3G58500/AT4G10060/AT4G15415/AT4G36480/AT5G03470/AT5G18580/AT5G19200/AT5G25510/AT5G28850/AT5G28900/AT5G44090/AT5G49900",33
"Metabolism","Carbohydrate metabolism","ath00620","Pyruvate metabolism","84/4731","97/6305",0.865979381443299,1.15409004438808,2.65134843451209,0.00378064083581741,0.00988497313057928,0.0038254539979022,"AT1G01090/AT1G04410/AT1G06130/AT1G11840/AT1G22430/AT1G22440/AT1G23800/AT1G24180/AT1G30120/AT1G32440/AT1G32780/AT1G34430/AT1G36160/AT1G36180/AT1G44170/AT1G48030/AT1G53240/AT1G53310/AT1G54100/AT1G54220/AT1G59900/AT1G64710/AT1G74040/AT1G77120/AT1G79750/AT2G13560/AT2G19900/AT2G22780/AT2G31350/AT2G34590/AT2G36580/AT2G37790/AT2G38040/AT2G38860/AT2G42600/AT2G43430/AT2G47510/AT3G02720/AT3G04050/AT3G10850/AT3G13930/AT3G14940/AT3G15020/AT3G16910/AT3G16950/AT3G17240/AT3G22960/AT3G25860/AT3G47520/AT3G48000/AT3G49160/AT3G52200/AT3G52990/AT3G54600/AT4G00570/AT4G15530/AT4G16155/AT4G17260/AT4G34240/AT4G36250/AT5G01670/AT5G03370/AT5G03860/AT5G06580/AT5G08570/AT5G09660/AT5G11670/AT5G15530/AT5G16390/AT5G24760/AT5G25880/AT5G35360/AT5G36880/AT5G42250/AT5G43940/AT5G48230/AT5G50850/AT5G50950/AT5G52920/AT5G56350/AT5G56720/AT5G58330/AT5G63680/AT5G65690",84
"Metabolism","Metabolism of other amino acids","ath00480","Glutathione metabolism","88/4731","102/6305",0.862745098039216,1.14977971742491,2.6438354068647,0.00389452375995532,0.00988497313057928,0.0038254539979022,"AT1G02920/AT1G02930/AT1G02940/AT1G02950/AT1G07890/AT1G09420/AT1G10360/AT1G10370/AT1G17170/AT1G17180/AT1G17190/AT1G19570/AT1G23820/AT1G24280/AT1G27130/AT1G44790/AT1G53680/AT1G54340/AT1G59670/AT1G59700/AT1G63460/AT1G63770/AT1G64190/AT1G65820/AT1G69920/AT1G69930/AT1G70310/AT1G74590/AT1G75270/AT1G77490/AT1G78320/AT1G78340/AT1G78370/AT1G78380/AT2G02930/AT2G21790/AT2G24200/AT2G25080/AT2G29420/AT2G29440/AT2G29450/AT2G29460/AT2G29470/AT2G29490/AT2G30860/AT2G30870/AT2G31570/AT2G43350/AT2G47730/AT2G48150/AT3G02360/AT3G09270/AT3G23580/AT3G24170/AT3G27060/AT3G27300/AT3G43800/AT3G54660/AT3G55040/AT3G63080/AT4G02520/AT4G08390/AT4G11600/AT4G23100/AT4G29210/AT4G30910/AT4G31290/AT4G31870/AT4G32320/AT4G35000/AT4G35970/AT4G39640/AT5G02780/AT5G13110/AT5G14590/AT5G16710/AT5G17220/AT5G26220/AT5G27380/AT5G35790/AT5G37830/AT5G40760/AT5G41210/AT5G41220/AT5G41240/AT5G41670/AT5G53120/AT5G62480",88
"Metabolism","Global and overview maps","ath01212","Fatty acid metabolism","62/4731","70/6305",0.885714285714286,1.18039073587583,2.63103868412682,0.00392491580184766,0.00988497313057928,0.0038254539979022,"AT1G04710/AT1G06290/AT1G08510/AT1G24360/AT1G24470/AT1G36160/AT1G36180/AT1G43800/AT1G49430/AT1G62640/AT1G64400/AT1G67730/AT1G74960/AT1G77590/AT2G04350/AT2G04540/AT2G05990/AT2G22230/AT2G30200/AT2G33150/AT2G38040/AT2G43710/AT2G47240/AT3G02610/AT3G02620/AT3G02630/AT3G03980/AT3G04000/AT3G05970/AT3G06690/AT3G06810/AT3G06860/AT3G16170/AT3G23790/AT3G45770/AT3G51840/AT3G55360/AT4G13180/AT4G14070/AT4G16210/AT4G16760/AT4G17470/AT4G17480/AT4G17483/AT4G23850/AT4G29010/AT5G10160/AT5G10480/AT5G15530/AT5G16230/AT5G16240/AT5G16390/AT5G18210/AT5G27600/AT5G35360/AT5G46290/AT5G47330/AT5G47350/AT5G48230/AT5G48880/AT5G59770/AT5G65110",62
"Metabolism","Glycan biosynthesis and metabolism","ath00511","Other glycan degradation","19/4731","19/6305",1,1.33269921792433,2.51781376987679,0.00422825894050435,0.0103076323525661,0.00398902180826863,"AT1G05590/AT1G33700/AT1G65590/AT1G67830/AT1G72990/AT2G28100/AT3G11040/AT3G24180/AT3G26720/AT3G52840/AT3G54440/AT3G55260/AT4G10060/AT4G34260/AT5G05460/AT5G13980/AT5G49900/AT5G61540/AT5G66150",19
"Genetic Information Processing","Chromosome","ath03082","ATP-dependent chromatin remodeling","57/4731","64/6305",0.890625,1.18693524096386,2.60577126186068,0.00424431920399782,0.0103076323525661,0.00398902180826863,"AT1G02740/AT1G08880/AT1G16690/AT1G18450/AT1G20670/AT1G21700/AT1G51060/AT1G52740/AT1G54690/AT1G65650/AT1G76380/AT1G79020/AT2G16780/AT2G17930/AT2G18000/AT2G19520/AT2G25170/AT2G27470/AT2G33610/AT2G36740/AT2G38810/AT2G46020/AT2G47210/AT2G47620/AT3G06400/AT3G12380/AT3G12810/AT3G20670/AT3G44680/AT3G45830/AT3G54560/AT3G57300/AT4G13570/AT4G14385/AT4G27230/AT4G29730/AT4G34430/AT4G35050/AT4G36080/AT4G37280/AT4G38130/AT4G38495/AT5G02560/AT5G14170/AT5G16310/AT5G18620/AT5G22330/AT5G27670/AT5G37055/AT5G43500/AT5G45600/AT5G54640/AT5G55040/AT5G58230/AT5G59870/AT5G63110/AT5G67630",57
"Metabolism","Energy metabolism","ath00920","Sulfur metabolism","37/4731","40/6305",0.925,1.23274677658,2.55997276634001,0.00466316030952942,0.0111261368788772,0.00430578052588128,"AT1G19920/AT1G53580/AT1G55880/AT1G55920/AT1G62180/AT1G79230/AT2G14750/AT2G17640/AT2G43750/AT3G01910/AT3G03900/AT3G04940/AT3G13110/AT3G22460/AT3G22890/AT3G59760/AT3G61440/AT4G04610/AT4G05090/AT4G14030/AT4G14040/AT4G14680/AT4G14880/AT4G16566/AT4G21990/AT4G35640/AT4G39940/AT5G04590/AT5G09290/AT5G28020/AT5G28030/AT5G43780/AT5G54390/AT5G56760/AT5G63980/AT5G63990/AT5G67520",37
"Genetic Information Processing","Replication and repair","ath03460","Fanconi anemia pathway","42/4731","46/6305",0.91304347826087,1.21681232940917,2.5585424549493,0.00480307217476875,0.0112623761339405,0.00435850469579741,"AT1G08390/AT1G10930/AT1G20720/AT1G35530/AT1G48360/AT1G49980/AT1G60930/AT1G67500/AT1G78790/AT2G06510/AT2G21800/AT2G22140/AT2G24490/AT2G32000/AT2G45280/AT3G02920/AT3G05090/AT3G05210/AT3G24515/AT3G48470/AT4G00020/AT4G02460/AT4G09140/AT4G14970/AT4G18590/AT4G19130/AT4G30870/AT4G35740/AT5G01630/AT5G08020/AT5G20850/AT5G40820/AT5G41150/AT5G43210/AT5G44740/AT5G44750/AT5G45400/AT5G49110/AT5G61000/AT5G63540/AT5G63920/AT5G65740",42
"Metabolism","Lipid metabolism","ath00565","Ether lipid metabolism","25/4731","26/6305",0.961538461538462,1.28144155569647,2.49294023760006,0.00544617279833129,0.0125538898402213,0.00485831650163362,"AT1G07230/AT1G12640/AT1G13560/AT1G52570/AT1G55180/AT1G63050/AT1G80950/AT2G06925/AT2G26870/AT2G42010/AT2G45670/AT3G03530/AT3G05630/AT3G15730/AT3G16785/AT3G25585/AT3G48610/AT3G57140/AT4G00240/AT4G11830/AT4G11840/AT4G11850/AT4G35790/AT5G04040/AT5G25370",25
"Metabolism","Glycan biosynthesis and metabolism","ath00520","Amino sugar and nucleotide sugar metabolism","105/4731","124/6305",0.846774193548387,1.12849530550044,2.50524927028997,0.00618024681823262,0.0140085594546606,0.00542126913880055,"AT1G01220/AT1G02000/AT1G02730/AT1G05590/AT1G05610/AT1G06020/AT1G06030/AT1G06780/AT1G08200/AT1G12780/AT1G18580/AT1G23190/AT1G26570/AT1G27680/AT1G30540/AT1G30620/AT1G31070/AT1G47840/AT1G50390/AT1G50460/AT1G63180/AT1G65590/AT1G66430/AT1G67070/AT1G70730/AT1G74910/AT2G04650/AT2G19860/AT2G20810/AT2G21590/AT2G27860/AT2G28760/AT2G30575/AT2G31390/AT2G34850/AT2G35020/AT2G38650/AT2G39770/AT2G43570/AT2G43580/AT2G43590/AT2G43610/AT2G43620/AT2G45790/AT2G47650/AT3G01640/AT3G02230/AT3G02350/AT3G02570/AT3G03250/AT3G06580/AT3G08900/AT3G10700/AT3G10740/AT3G12500/AT3G19620/AT3G20040/AT3G23820/AT3G24090/AT3G29360/AT3G42850/AT3G46440/AT3G47540/AT3G53520/AT3G54420/AT3G55260/AT3G59480/AT3G61130/AT3G62830/AT4G00110/AT4G10960/AT4G12250/AT4G16130/AT4G19720/AT4G19810/AT4G19820/AT4G20460/AT4G23920/AT4G24620/AT4G29130/AT4G30570/AT4G33030/AT4G38270/AT4G39210/AT5G09730/AT5G14470/AT5G15490/AT5G15650/AT5G16510/AT5G17310/AT5G18070/AT5G18200/AT5G19220/AT5G24090/AT5G28840/AT5G39320/AT5G42740/AT5G44480/AT5G47780/AT5G48300/AT5G50750/AT5G51820/AT5G51830/AT5G52560/AT5G64570",105
"Environmental Information Processing","Signaling molecules and interaction","ath04517","IgSF CAM signaling","45/4731","50/6305",0.9,1.1994292961319,2.45438401539403,0.00698134400033052,0.015564963672868,0.00602359275265791,"AT1G04820/AT1G07880/AT1G13180/AT1G20010/AT1G20090/AT1G23220/AT1G30825/AT1G50010/AT1G57870/AT1G60430/AT1G64740/AT1G75780/AT1G75840/AT2G17800/AT2G18876/AT2G29550/AT2G30910/AT2G31300/AT2G33385/AT2G44690/AT3G10540/AT3G16120/AT3G27000/AT3G48040/AT3G51300/AT4G01710/AT4G14147/AT4G14960/AT4G15930/AT4G20890/AT4G27360/AT4G28950/AT4G35020/AT4G35950/AT5G04510/AT5G12250/AT5G19770/AT5G19780/AT5G20110/AT5G23860/AT5G45970/AT5G56580/AT5G57410/AT5G62690/AT5G62700",45
